grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,gainRelativeToFourFifthsPpmDecimal,newtonIterations,classification
local,0,159/200,0.795,0.3826089369312902208422036543621283714575454362918600267124358192681697013554468734,1.22727336632e-91,-25.3658769211199923699084,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,132,4041/5000,0.8082,0.3826134899993100487076714343278301224363202264886134920547237269710291971217653671,1.22727336632e-91,-13.4661221381247102973545,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,133,8083/10000,0.8083,0.3826132688873677892069680716397359431961290976719845071944735172050889755979856057,1.22727336632e-91,-14.0440133273231851230079,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,134,2021/2500,0.8084,0.3826130440107228008404236529716113574122460645105325219009305468467519756237379278,1.22727336632e-91,-14.6317438246781127414276,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,135,1617/2000,0.8085,0.3826128153711158799639718725499264173260528760871368222727738682558622012928501709,0.0,-15.2293090804991145920284,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,136,4043/5000,0.8086,0.3826125829702870212110254615160859184656418196881090377796727526542509032999918359,0.0,-15.8367045471911687752542,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,137,8087/10000,0.8087,0.3826123468099754178679537435536244871761413772263432019966095269289833057991972282,2.45454673265e-91,-16.4539256792536287162971,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,138,1011/1250,0.8088,0.3826121068919194622494096894904722971706164370781569036421210668545325509823409589,0.0,-17.080967933279242222161,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,139,8089/10000,0.8089,0.3826118632178567460735064739365851558543740109058094401487795431354640325982581589,1.22727336632e-91,-17.7178267679531709320613,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,140,809/1000,0.809,0.3826116157895240608368435371368211231075899627396825970418948185988234781672524551,0.0,-18.3644976440520101611544,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,141,8091/10000,0.8091,0.3826113646086573981893821553382925100986189192548036224168465242169088559479437665,1.22727336632e-91,-19.0209760244428091375855,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,142,2023/2500,0.8092,0.3826111096769919503091705230905274231860204804530158932167722824563160541936249898,1.22727336632e-91,-19.6872573740820916328485,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,143,8093/10000,0.8093,0.3826108509962621102769183510156393372118183486616230624471621866459647077313608138,1.22727336632e-91,-20.3633371600148769854466,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,144,4047/5000,0.8094,0.3826105885682014724504209827043268721706149099884021387067094203236780479879976199,0.0,-21.0492108513737015178455,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,145,1619/2000,0.8095,0.3826103223945428328388330345119093755564389733589671259883174810070838942143150721,2.45454673265e-91,-21.7448739193776403467086,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,146,506/625,0.8096,0.3826100524770181894767915621467474473583477857999012081417800507021151692714592607,0.0,-22.4503218373313295864042,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,147,8097/10000,0.8097,0.3826097788173587427983887580613015529332822421102342813441701532064641513824640863,2.45454673265e-91,-23.1655500806239889457744,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,148,4049/5000,0.8098,0.3826095014172948960109941837737467175871345180459948487699659660803754509362074986,1.22727336632e-91,-23.8905541267284447181546,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,149,8099/10000,0.8099,0.3826092202785562554689265413654873519197749334473738882446606630031542717084288589,0.0,-24.6253294552001531646325,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,150,81/100,0.81,0.3826089354028716310469749885171038846354355460149937376737714884201263943374269441,1.22727336632e-91,-25.369871547676224290536,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
