grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,newtonIterations,classification
global,0,9/20,0.45,0.3382948807121929910184713131161333745425204863264920262624470269078382797676406944,0.0,8,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,153,243/200,1.215,0.3635999319146728824813079725026436617331799859066696047121805550938847728140583095,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,154,61/50,1.22,0.3632474434084966252489355603314245450343624528407585850255373168694271133642403884,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,155,49/40,1.225,0.3628937181239212036886304610173052049963421954628983281604309932011938930682645825,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,156,123/100,1.23,0.3625387917800274594190262890483562242409819242733602711387359734233578734321989224,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,157,247/200,1.235,0.3621826993701698093084165390472426260122318104705405909738935882776393220148995717,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,158,31/25,1.24,0.361825475177477071605154081573235920448706616243485500618646955481702970908566646,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,159,249/200,1.245,0.3614671527899910258077406185001209172523345044599033386401513517930661162140678198,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,160,5/4,1.25,0.3611077651154518800790886685830325803598525326045171917174716022954716268189955983,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,161,251/200,1.255,0.3607473443957395752930894850154761902562099381826579643608051579848037747668748007,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,162,63/50,1.26,0.360385922220979616613676284788301077920708105597503583376332986180911921189490777,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,163,253/200,1.265,0.3600235295433218916932873077849951439630877323733552277901977541314667690506841721,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,164,127/100,1.27,0.3596601966904007089868453848966865332727915854769751884398767592058848368677278985,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,165,51/40,1.275,0.3592959533784840701586812101915178695928886808187069284658750567255112865039989371,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,166,32/25,1.28,0.3589308287253199769647587014235446732069599113126275976445170983115467529029089805,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,167,257/200,1.285,0.3585648512626873651746932926882357454274684028763170903182848164343926655614808615,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,168,129/100,1.29,0.3581980489486590559131453934291858168948400410975430462471091972221057658378981973,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,169,259/200,1.295,0.3578304491795839181062581712836450043498488414209296103605753821376688197653700461,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,170,13/10,1.3,0.3574620788017952443762932578982433820476397820987072183719420504450981340165556342,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,171,261/200,1.305,0.3570929641230521565993396723344251151258495854584389686024007532640113566588898564,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,172,131/100,1.31,0.3567231309237206762922672377046875911272079575797087059633476609179447639307311772,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,173,263/200,1.315,0.3563526044677009188938482449897159142338764474757186951852037263288113134363239294,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,174,33/25,1.32,0.3559814095131066997216447748852296535439650601516924905834506939304536945480041069,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,175,53/40,1.325,0.3556095703227036727939287545016323953562759289074868265510741923824840508584305461,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,176,133/100,1.33,0.355237110674111961680271457479059045858571356579851839029713882279382248907453767,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,177,267/200,1.335,0.3548640538697790839638529465255065186395253948725582309752188667385164548130157915,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,178,67/50,1.34,0.3544904227467288176439883481434309798164131787149057803310479830171570079499403645,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,179,269/200,1.345,0.354116239686091508762477153398145639734490688191292714408180046268034146837689987,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,180,27/20,1.35,0.3537415266224211745884180246362343270823139707472481916002898720682655836849666544,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,181,271/200,1.355,0.3533663050528046157319794245603737385556704237522686589033659007660237712123550891,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,182,34/25,1.36,0.3529905960457676134697629934452106658356802392632577253567740574856963518125629506,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,183,273/200,1.365,0.3526144202499831552469099278282687759314938174531833897089583049591982574205081002,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,184,137/100,1.37,0.3522377979027865016706037747823270836764307117422175402509171691755437714766559401,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,185,11/8,1.375,0.351860748838501782225265584348146481695181693712825830860623360607905738191815578,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,186,69/50,1.38,0.3514832924965846843231636543580629991630908502912128676211866995513785255673174348,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,187,277/200,1.385,0.3511054479295856810594754029535592502597444511180581123302464007840176515467107654,3.68182009897e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,188,139/100,1.39,0.3507272338109381270745731754218706999924454331039069519017269122926382339944395723,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,189,279/200,1.395,0.3503486684425754391473757446654858270574051726928239312615671125436412862526460972,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,190,7/5,1.4,0.3499697697623814684632768395582607016598938433466534673376878552481218890769695644,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
