sequence,index,minor,sign,normalized,normalized_decimal
B_U,42,381428761979487268582652573190903379031391506888643367142377184754215593358603893794182628068014679101233717295443725971757624037147969183708676374883010982699914894316227795018482656720987953026164971621816021725697731443484080504127588246589763900690238711537923195874621478737513930380065683113651848692951999791021962269427260124962993176771989037469106547148414174543321101003974890871699158769227058507241765659075524067211905243423221865968914501316774819117754835673605196701179627799273229353950314527888573259260705790058344293016415879/42215018475398438764886740377950936370340056631345030633527563925237301673150573473298823968933824354156501404356874839014271513953496114006977979512541157359139480891336009213878251498755866413408399815360831527129973429236872645440386747073657457312428845728096248038843186318970216898315126728068182207980163737255671269764861328723183736187417295648410633282638598874375342517292226829613663092158069583813944856604886423917775309558988632546380377714327537515222794240000000000000000000000000000000000000000000000000000000000000000000000,1,381428761979487268582652573190903379031391506888643367142377184754215593358603893794182628068014679101233717295443725971757624037147969183708676374883010982699914894316227795018482656720987953026164971621816021725697731443484080504127588246589763900690238711537923195874621478737513930380065683113651848692951999791021962269427260124962993176771989037469106547148414174543321101003974890871699158769227058507241765659075524067211905243423221865968914501316774819117754835673605196701179627799273229353950314527888573259260705790058344293016415879/1368495334945793549424080426699952083246194087352577967338846666311542054839169645300150680512356988814178371247531848501712581069537078898866930464306774360666691947026942931866499572068741847402617607589514023156526589158063341079099735880467792299914192463020215798719463819128133660476325309275659034305808344433388505616963117707861156600726559867739967096301786576079171132012065291632978779065470385801582198080304966021102430544121149518498936162408542003780793479927731885050735117580620557540029292138043476084718756143796401786349981451591,0.00027872127309414306
B_U,43,116571811221917761550179732476995829623773416523093732732154443120550163322767109685599691537672506221408797496253825619008372969615116408672317268676508499726881088189123607787906000990072284102521940246443444720826111383476326086462757185887522226445502978538410947856312824284064125428818602232672415588051198804173009930345026290991940989833593190744170825143829373552539461058066023113510665570192168732417014497089746801787589900865265542907390733692029526561704241259597915677150633824271247649407084225601658909049328378804697064026477977793251702118367/8750928174909708278069813210665197981215235507540853957469398088627463964243436283059157931950020413444500264455851040312804376362076682773803240668168435425556713139277755547422135432119880590949571547039139669583136646538035943313004793524879075833527131012348156981188295538904137650666365399923650971036933359892918206291122607075804917807590273122104042120051418825905541497604579868726881213824529248483221875721585285318212567948962683345709202047672328227797307302704257695744000000000000000000000000000000000000000000000000000000000000000000000000,1,116571811221917761550179732476995829623773416523093732732154443120550163322767109685599691537672506221408797496253825619008372969615116408672317268676508499726881088189123607787906000990072284102521940246443444720826111383476326086462757185887522226445502978538410947856312824284064125428818602232672415588051198804173009930345026290991940989833593190744170825143829373552539461058066023113510665570192168732417014497089746801787589900865265542907390733692029526561704241259597915677150633824271247649407084225601658909049328378804697064026477977793251702118367/493854263857992804929677181812957919269400309297583530075257426941454821363125537903389672956675849827554213804901865909499425254320555198478126551129956483849787401292898901790493825975961472761851404642534685469602586051447314342408976130352053644058868723349578345800815764485696923667129869400261647141410566694161528092610804916389371647488016393839091269717764532042049008497836888429121346492267070163332671151344963477236795537312894267928157096259135936391118637980847710539162244738987279509262606749035822291136803414647812382223111157664018155411695900,0.000236044962558909564
B_U,44,315433095742505949523526586328132052974130470838320888330828771452520082797752396085179447370754141761834255272994598450197900283223990254417527723222199077163636974601020452353372290289884938407241711121089597010232665729810624096576941636136590198085747234240464745143774242344611713423722976162875865999374928845616986743812568552273373566527401489245428902315045604199217903631619111819312758602432449125620594992542168340728581038821715599141930969782317013802700845035615726050103059120797531822554084519183797660951694665174736526041160479731642235735085981807693551515611/12829442504032155232803004030146448354160213091355701711969383533626517127464590309924015753709957858907636330123940642911594927828413041301850102038555765386696035890379477750032588375159115105854514081546680958136398400710781817906816468880871349720447177460772973531088579169014855356939361924174027212049791060552942518575912334200223582550561052864766002867217087841652970940083645522504602001016193204576908835478183932697210826013345168522275125752345972885269526901051959542769375530264716902400000000000000000000000000000000000000000000000000000000000000000000000000,1,315433095742505949523526586328132052974130470838320888330828771452520082797752396085179447370754141761834255272994598450197900283223990254417527723222199077163636974601020452353372290289884938407241711121089597010232665729810624096576941636136590198085747234240464745143774242344611713423722976162875865999374928845616986743812568552273373566527401489245428902315045604199217903631619111819312758602432449125620594992542168340728581038821715599141930969782317013802700845035615726050103059120797531822554084519183797660951694665174736526041160479731642235735085981807693551515611/1261031182759134542176321151700234224235730203823739107067787036150913629116697216788261733609985302055213223792249587805177697547298150507055156704266315918835478314398600982550911927316688585820527249889395192327520778193460157125667044117317823594845843481252368903681782720034847401232528205272583832398659426109960660851318631081500983330143379099681934215014648005501379647769843430736136536967071841575026108271956992420456734260945080374498668014056999765759068671108546167164432215773933390475934345773533654482659116302553376051858593696895438929950421827853124523124149389,0.000250139013257656933
B_U,45,9182307576015885973109053066930559464235228894100367449229310952075208565124389131857593741482117187117136737681934587923741554934107188206679073003087213565676208547120791469919586451607883357258559580785001935332735301982576013477952475494311006589859759982564875972045230034972233827597304456471894299974539260828347372700306216957513997978212197916958614746575204373927930628273928425253642498346805588281132558341114537492335526749288485817613456692431365804859319465853786818587789766697838527491724975568295754895868408129838347354987929314885734364759673947129579143674510834099437315366829/243569249839516971773871263256802800736812551804949719084130208587744620598258885831940670027691374177584929737869461793274854373041798184773303028718274760651267605506029323793732571954354902815945751357433551124389619543680131056672338383466318655557556831181730341768943408897199216895777143454645059276379399071286917911593951142672431863849620649775461306654744972537285502624209035604074634814477037042766439009025528135355836481625049157724728358301456397760891644072931653487986806991571594858819103383163712307200000000000000000000000000000000000000000000000000000000000000000000000000,1,9182307576015885973109053066930559464235228894100367449229310952075208565124389131857593741482117187117136737681934587923741554934107188206679073003087213565676208547120791469919586451607883357258559580785001935332735301982576013477952475494311006589859759982564875972045230034972233827597304456471894299974539260828347372700306216957513997978212197916958614746575204373927930628273928425253642498346805588281132558341114537492335526749288485817613456692431365804859319465853786818587789766697838527491724975568295754895868408129838347354987929314885734364759673947129579143674510834099437315366829/41718731351007885605931264390777458103113327712331386828155794429064301211189310442267186466276547769641629522871079768590257613143680674801526342536473802847787585354801908331333442718207008267414443368745396873874298181002377953278855443765741880606864104511137652241819106771727437649239297617510682397011951835070804013071469972422284071560037342859272077304873379480211422195331989172618811250660477955633219780318494812682759512602203297621428501704322277842154667095254640975603669816795688033056971528450817499263956122620062253456079507301391418913294882641477355020942036336748222284246382500,0.000220100354892360599
B_U,46,64446135550056701412829196722476711285669111214857622430138106391841741019946132635525925742313461911134042990131831233316297431957592932971562207979732852868380264441884941265210838647263568918834664377601723695802792824159582157471806805341928262057932248864083501706827485997329838194700483990735960719387555800905767108834181991378609445054362976329308397005541412063943655646476060582183513812448399313438192956888654405079067011789439265909114165258481618436535961107666421578896925563608399542798750234494369528649340467415348439331248771644797144249572845067752009476342935617663740937202805511/952686486119021622114446825589629999969847719202203235539668366092762305924286425678385077597641501289950780717748489971647723445957710557638727577452013935543382755123135706047012501770995604842685657823009691493080309888589931323033877686801316866773976620910382703611600021366869425904129939248879072639147703215852288794555415738710800492274509045567229393040475493092541768131568846584846565826982169876037855877553424485966494954902284468287543408368646416335224529750022246595677807187622894095053217285379864710348800000000000000000000000000000000000000000000000000000000000000000000000000,1,6958055916932971881438929882535643087379836930534532920914720932807977252700524102259827624620357542159409219515563422767460684836165436194140656908947816925640412010996991453581018616229105745459822208856525302264740132846037606795758565352351968669608771113108503428781043180673710640367227155027789470990116237156392957439500127063174325954184407465346439699497289636307804669183080832876607435788616328673981378976397350153171628061870389222409329080462484897737478112911420538608764362326108073437352666567653594899683342245432924949276936128173813273193631363429981207132317729832301117766975302606137/30713649426399110723936866346322564543637831597661863562038604040665058817840823567886654098613269076236995375453964029516142168502611953273131962528987806806108387736314125394416928351064463938120657353671044737024731453808694318703717908678276698865135710391245363424333345250918368227024544282881598264958899573259785308761648156694741790797910960151205375670147577646747650230627524682868808519569940280140943122104309433185976888618990778861932227556657952373339504575637200848438857781266876575644563597052005883722414743554993910788116237754407548213383906682967360386540117915690994704055836802937620414,0.000226546048642215658
B_U,47,501423978027102085472849561557173148975157517304201721838596867799796095133969808713107860133328966760268425785109033226840910260692875332392990339649058675797922450009208822964836420271269093181350583017306850827298962140162935761302289972561993629584663730501631738186563502199657591045917589078435222591113732644002293152252483278175054244763815981985835208311166526087368181441402071170908960468508040199210312699137536906780855297232716617737709903611620130791004252835855706060373259260623143045347195469123900634096438955413381221451683734960603340192734178708888463570870901666169500966569216233189762112419881401/4699210176200286312422021761049725183699159222672751674501072359068512337227414328955775850485022977674906972625242424955589550963760555113609743942392699674415062697513479058996017182119557388937156574985508385758182154691886272813501197887110093319604527829436588040809186957220950313563445761886966176432010793633816994152830779152728000772649603528662054132905154023454652277790636625323485139807906170888673434595868660577384788792134495142399706461165024420168866297717118821613655497194035505094988416486064787948313311078393053184000000000000000000000000000000000000000000000000000000000000000000000000000000,1,9527055582514939623984141669586289830527992828779832714933340488196125807545426365549049342533250368445100089917071631309977294953164631315466816453332114840160526550174967636331891985154112770445661077328830165718680280663095779464743509478677878962108610879531003025544706541793494229872434192490269229231160920236043569892797182285326030650512503657730868957912163995659995447386639352247270248901652763784995941283613201228836250647421615737016488168620782485029080803881258415147091925951839717861596713913354112047832340152854243207581990964251463463661949395468880807846547131657220518364815108430605480135977746619/46499400834852840612967195577128504493759541856554706032860660529517051925575980827912887179458493091519882351976649645947163691774281695232251420450164303255635710855655320395465977041907182553013386885205674888175046753643198141306195218446797505867517176617096062946938996852932227613473027476330613499790517955074824601484716116816817525001047053608993820923856257906051205983253925262905035745773922950038556349988061235173703093419290735324105763329317518405764492865866519657323599882378018369133395323927796749384286841004986972788437578717282920405154036071830411603432557683321727069508979726667080733801239558651676,0.000204885555759120583
B_U,48,83513125426452776834638447230487231091948887461263690487095759353129197850980668366423410977050737955095393355882961530888326344079104395207274855837289408110577666755682831277680962813240926064741179395422754547051582508906573011595330646073579032755324121675729994202576955412574413824111620081123928924082408449819021921430093494863543893648405965494139129238054518531614782211233556564128519833267837857892798782155865468734068322357589305022942768088696558650111263181130767924825291678910413995471614324524416868105434192052702684131493502562654455460042958987886079247385867855082827179672769484762386034776267425515772786819047201153839/444612116308848073259398906631267845447279457806377335009433445329411676485937303137079284881877447633855782610460905451388831926612041879068487892162781095253004941723606839070229949632865249132010161160797563874918401174204481237953125598094098360128321854668986997704927998840489741549446070628194931884852263887790621779429661736673686217067435522250120444206822067072541443378656249548604034238565772698537449426644696276698203161089145960603341052499826308428995692808775028491940012489474427619984933884748273742783948434792350373276353867043015596441600000000000000000000000000000000000000000000000000000000000000000000000000000000,1,83513125426452776834638447230487231091948887461263690487095759353129197850980668366423410977050737955095393355882961530888326344079104395207274855837289408110577666755682831277680962813240926064741179395422754547051582508906573011595330646073579032755324121675729994202576955412574413824111620081123928924082408449819021921430093494863543893648405965494139129238054518531614782211233556564128519833267837857892798782155865468734068322357589305022942768088696558650111263181130767924825291678910413995471614324524416868105434192052702684131493502562654455460042958987886079247385867855082827179672769484762386034776267425515772786819047201153839/404023498882098486476147673813805082811739454294301695296720373019820591520599818309190653369240316669553762071814444235110573938436450435624400390288407876468841611963205633394026189892950083247591692369301295163577566708433656744902018433182745275096120045972764662627421344819492397079781932921000254017273162188049387262081562873930638393610653427515373448457875279986040203536051543766365462482372672381298336913265929878947614636217282459066590959979596872775561447737263859180533906622616573866243177075489469044318751343757489537290948940484703728090958381838270104967019821625693769970806447614133411511825688268637558679873631750286183921,0.000206703633965665557
B_V,1,29/336,1,783/28,27.9642857142857153
B_V,2,-43522897/685843200,-1,-43522897/49329075,-0.88229704286974775
B_V,3,1989601902582649/29658054666240000,1,1989601902582649/688681932054116,2.88899971086552032
B_V,4,-92246871353102625466763/1282509189543149568000000,-1,-92246871353102625466763/145415341740679596516243,-0.634368218984811438
B_V,5,41972240769812282204025404062873/482286965123290414334607360000000,1,41972240769812282204025404062873/35695778462583824525072797972340,1.175832061312444
B_V,6,-5765034127895109175464157771935801398417/56136408632840745588206971964620800000000,-1,-11530068255790218350928315543871602796834/25680193290463981558493138373585976310299,-0.448986817403425276
B_V,7,11743017828231159932839677199309215370104182687047/89332660405133048610014223666226038571008000000000,1,11743017828231159932839677199309215370104182687047/19172124843047515974343005337510308194331699455820,0.612504765348927394
B_V,8,-195732707200504988650444689901597781204761472350756506069227/1208355815414894827225722981636598575978656751943680000000000,-1,-195732707200504988650444689901597781204761472350756506069227/632693165693076746527707716984951974028448525977006478731387,-0.309364345647849315
B_V,9,44308908901963914170578344866166151793083219487475046691535884937963461/206906173405795166101862516116911063984100077467167552752844800000000000,1,44308908901963914170578344866166151793083219487475046691535884937963461/126068931574511754264033836326382331489928137584073490823447383621849780,0.35146572869760212
B_V,10,-504932922375259493547732820912551461820853135506221220699212294154603901344838577/1870279772932169723272785497120033312166449183566271802167954201640960000000000000,-1,-504932922375259493547732820912551461820853135506221220699212294154603901344838577/2422075023735998915087200285600557786425723520922542684429990302018793599771657535,-0.208471214734055277
B_V,11,9663265657337451009673068797439350632680251243834018837542234733720360957577404474817482927/26471625699080077658689496098273435334807477780734171954222459553720272158720000000000000000,1,9663265657337451009673068797439350632680251243834018837542234733720360957577404474817482927/45650069723824240002385660902888973914972059798274238495435763461149024468831921835840274908,0.211681290210479239
B_V,12,-16075459998298630170039761650022470894633617000428246460317277699892255701228026278403429623856205669023/34510221225629892478230965490237070756045130864737748813975106785041650722548575161548800000000000000000,-1,-2491696299736287676356163055753482988668210635066378201349178043483299633690344073152531591697711878698565/18034200536490402097731399442009067668317974190793059128683366221634080452456806030315842507025302568418541,-0.138165054486035527
B_V,13,40080761409781832104119194068491764489532554445651766627974228440304614993561444616828885729123724258530606050258293/62485822940867249373988881498584872034815385585533610589262277311048010579082992917663673902694400000000000000000000,1,1242503603703236795227695016123244699175509187815204765467201081649443064800404783121695457602835452014448787558007083/9483430412622469947874184187111503791236397801237385950784359056637340354541046144218165252697789664197839282843119356,0.131018370952504848
B_V,14,-406548592157288952044485140846029860242010948935185931384206782763432570170725082818670392368859060471567470598512285780829363923/494150488407500513222850036493505541483407224313943120437236188778151282508171235089637743274200897819770880000000000000000000000,-1,-406548592157288952044485140846029860242010948935185931384206782763432570170725082818670392368859060471567470598512285780829363923/4493923159901689459153539959462788881852517657581273357577274205468220051451516841242581312679704904500391451643926991918528010602,-0.090466298085564667
B_V,15,108644300901378974143317593053716978786534341237762495510106151928045605261581418178060108160105081964248805288093127330863882245285995811124489/94290946792307005512840213297758540308876731144665084259804531999443004956178252480303105846985778469596485085357408256000000000000000000000000,1,4019839133351022043302750942987528215101770625797212333873927621337687394678512472588224001923888032677205795659445711241963643075581845011606093/48755079102832868999781896498498439983117558905700307326701399498626680347129071081647565007686165670825089789689138731572615690581481496142602052,0.0824496484740079721
B_V,16,-274683129489820859795925170886912042406778365880272386926149672114914069236133324678069950317271636925218994721840003341529789879771945627565527795631702543/185954913584438854899684142905838263796484345916070797227176962443691414407471100020407526258815139837306145371077173710254076067840000000000000000000000000,-1,-7965810755204804934081829955720449229796572610527899220858340491332508007847866415664028559200877470831350846933360096904363906513386423199400306073319373747/135690967773756319442039695835645705086922616076571731242999903185555855642535707970902025361630066081772512673554215150592654293794441886673066876036923080915,-0.0587055342437129701
B_V,17,6225346415072064243310079269444468251226655588467406898228138004398274111023397759952258857136073751675874671608901970168060669123923997279574952887727324238609521/2956807617913672217233100187060605355559653272743423171730046844484287370909909597292493329816950835443627213198501804185123726944318259200000000000000000000000000,1,118281581886369220622891506119444896773306456180880731066334622083567208109444557439092918285585401281841618760569137433193152713354555948311924104866819160533580899/2255122315313634565066221097463037166772058970515749594484774134018793963800934457865025999515832070285866600593418552580930329105324772193200740890558727318626442732,0.0524501846676635949
B_V,18,-1595252294564290216021436051883545911011402647532223893780913356036428690152749007051037153567910465599392321852569530846208496435231842019518135180858707124886707655845500745451/594526003450628276004319198483564852930807530319129531412577549532713850279180743707142491488385855768426437962289358325227540267848181032209025597440000000000000000000000000000,-1,-1595252294564290216021436051883545911011402647532223893780913356036428690152749007051037153567910465599392321852569530846208496435231842019518135180858707124886707655845500745451/42171158754894103774627088070531199397841075253644895617082524803436484589550542084041493513414384787044615338785462653661236599553774760503808698691728688903599518248120793527289,-0.0378280403399907997
B_V,19,2830821833633984483594187134766483772159481130380538782565534170328583022903149436535642573156374673342438172024585833618181078538207293191573883908570632134436669049425625446719515832994215871/725521857010811283284392049319663116556791940065770650042266066980185627559145238368375743322056294980701159170708046189251945240903118111799094314401103127511040000000000000000000000000000000,1,2830821833633984483594187134766483772159481130380538782565534170328583022903149436535642573156374673342438172024585833618181078538207293191573883908570632134436669049425625446719515832994215871/84188315432660657467426688952510332223522875487576425065600682946998964393914788939010094221033413632961713154951620641493171102911501270925083818926223140351687674340564687633284095980193591740,0.0336248779784441912
B_V,20,-1769218622811525266813061776033623301023578417990363572723685063256552044283127640088956734534279364047074770916036718159684352465672457297713595902242337969925017279849546757922303257672661333066120216295703/360090497863141906791934461945125904329853468982534317794726029958813680105864634577106140238961401681407244401065719707924722117845995702153856535669402603977905876007649280000000000000000000000000000000000,-1,-935916651467296866144109679521786726241472983116902329970829398462716031425774521607058112568633783580902553814583423906473022454340729910490492232286196786090334141040410234940898423308837845191977594420426887/38632356399662754990704517274125011325496023145406633445975106796592562888379758953428902649003070268888733570591899946055287785305301397137726198754056138992814606082844327207381130596819283014615265165860254287,-0.0242262377625887468
B_V,21,9220945117238223655343272591593869364611044375787304363175926931792304481243846540132673969638086772961295118192606332553568061551968362973470309979370903795412320175673700204824729938039776663739496183501849149885752097/1259568483818438933324775559113109266006038921324422540474473245422032018255300764494589807006406769731579046099475557373719164438745582335484517048981499706029711048561531727677940039680000000000000000000000000000000000,1,12512822524092269500300820906792880727777187217943372020829732846442157181047899754960038576798883750908477475387366793275191859526021068554999210642006316450374518478389211177947158525919976932694496321012009296394965595629/576854543349217212328083571327020323859501464960118814154403562243480722322730398899504444273344218492777195463682222598733368839404871654535727546281980734616517040675468704585950194790698008283969968036760252222854706500484,0.0216914691378572271
B_V,22,-1143005015418351914886883878056709366736281909694890324359076822021689984682876756156261591602164567431337532467226967321316119275490953765497173970242884171576315310494175127524998380823367663440389195277141536172267919760711319502887/126434716271773275198351232722637952920200170529076094994376185090197782728154211546516771249374526055908178649518041143404470272708445352890687210951144532514912244586951896660792422382186438590464000000000000000000000000000000000000,-1,-9144040123346815319095071024453674933890255277559122594872614576173519877463014049250092732817316539450700259737815738570528954203927630123977391761943073372610522483953401020199987046586941307523113562217132289378143358085690556023096/592981798260785493477409227522994696035524317416629567074429885423054624824419935767913348328037599356294196965765714868119720252812482074756195629113752359216838289640139002849020409422723358617826686154016201027101945605563612520248425,-0.0154204398012995816
B_V,23,338439843516626726828691675101825231893597721323590964541514013942897255010019589201854827494683568429080689237438667332954094002565547387932150560818920875407393429122138552102285772792841595483692762421691541750905501173198629030377271937486128510807/24355677439774894744818014696192811599221819356122163441231058567542018206427618755255278199973576305306035529354570439912427675009771820600089298041487168854359841212315956742701261042370779084202629785692458188800000000000000000000000000000000000000,1,338439843516626726828691675101825231893597721323590964541514013942897255010019589201854827494683568429080689237438667332954094002565547387932150560818920875407393429122138552102285772792841595483692762421691541750905501173198629030377271937486128510807/24044028578837419086561157092619893773521912622068891960202338455719746244165004491905348260308722544003248714824230202271295926160586023341131961829218824434388097339308699433988860637804205621664731883523402001933877009044216544260604153259173015459148,0.014075837682812762
B_V,24,-742124169942354287561820184461297535102297918881386818372044358626613510644296085116597478518849985230464180989424033419899623219716202607534121703248524311603396159864793304567041268921320008396055005079223505709850966835237087525744935767515252282402862153785208910721/44540678894462143374684612096907780466433062201473777589784701653570937866226145133401841703186663089655162087867904296165450540784570120938873078172131105928346767571308149469808551211264418543856680618565949101456237429144944640000000000000000000000000000000000000000,-1,-742124169942354287561820184461297535102297918881386818372044358626613510644296085116597478518849985230464180989424033419899623219716202607534121703248524311603396159864793304567041268921320008396055005079223505709850966835237087525744935767515252282402862153785208910721/76142425706457401386016392044539881751732248595998114942083632218502007082360779106278215874691252672262871046842744253185601120571569399570735050346346168275343647336412130020077683484562237242464649176822678880749472122160872549615635695688047249417283011131335016201361,-0.00974652650026379581
B_V,25,30274343200160451638010006393529389962063370861357553965393961713445600251211751533442819652089612747677839888813955259270468281419338398771107961516345346201658161626748110189059741809319098673037943827487844108981852193848310930225301221988541832182922594369492824149816875855177/1134517442800486294118959470281189690062455330275637406668816301590811079007500476311627234235712712001788375879854577483005937022144596938730857521491270728260871509653934193320125983753473136691046067774858588937147824648095188621931315200000000000000000000000000000000000000000,1,30274343200160451638010006393529389962063370861357553965393961713445600251211751533442819652089612747677839888813955259270468281419338398771107961516345346201658161626748110189059741809319098673037943827487844108981852193848310930225301221988541832182922594369492824149816875855177/3293340662370493866712902124610841575301421735618943142678581768918835465676992282270814579932889757411234014392960826358206880578748308645812628381948140646474858500900380706451969241547547436898687334284668851027764375032401971837729592848766203951327394291668098574145654804167620,0.00919259387468573073
B_V,26,-310865856094669311676786191115654011484868898721169297831148757222842541671929008542817935546037775716616358609740311259713035910088410078089352511007226470666055385152029122179578418855346685130043250296746298013677843198188060942324364647846972052283781168100335775144219374844607352847/10143155260116734622545637360338922389802818357520845826390564269493194798795792567555878399733906293856919886896341449722410003593641991011808574817906381384690373115463743480713483303431533403082909534479428259590004557444158030411083508875264000000000000000000000000000000000000000000,-1,-3419524417041362428444648102272194126333557885932862276142636329451267958391219093970997291006415532882779944707143423856843395010972510858982877621079491177326609236672320343975362607408813536430475753264209278150456275180068670365568011126316692575121592849103693526586413123290680881317/560137888352404193976533247278735457227001244925205757936632897981809671185929062969713697055558227342449378042675076478507230197575685524018463020926806972610524445394819435718385720363118761795781656153498147182878059391707032003431607813799647148447075348582100660468135049547326925674291,-0.00610479042419285241
B_V,27,3237660863693567194439953196535517767618853574549072665218421114960030424627636933295670840728847941123000947343217027678892004755908686978666833882579658256094934754296284694611006716436085974544254855680920932822765250500936128406877631964267862907666730102280527618220909108218568714454410539558358661/62398792505188125579643534042140423103071470276555629527532614233205456288807522098194425359235142868621999823273202735339929476074489854040796725417466764545797118673771914880195094119398206427379316741060462140590500937996625772774097650210319838547961446400000000000000000000000000000000000000000000,1,55040234682790642305479204341103802049520510767334235308713158954320517218669827866026404292390414999091016104834689470541164080850447678637336176003854190353613890823036839808387114179413461567252332546575655857987009258515914182916919743392553669430334411738768969509755454839715668145724979172492097237/9097859081175333224654948252049355028082682067826910802889194636222995291914919910560868360079769667666239159599215713290216743709775057010748362731483536588067105544335335950901627833173210407346867519937297840430740720999100096991716359930221533883628758323951526236853338230770900295190364985205319616628,0.00604980074891202976
B_V,28,-170992363393294288976888522362429201932536590796129599612916831995437109410406414890266507260642637308357662287490725460489363155107076417161513029911793555291721215012223901599214838021852596235813084285913119502303416731833280717944880860396114056386122408103624697448195782345352991490499365300055256150467759315799/3053741595852708106391270168711616105387071156253574283126829603757909235525195795081712469899173623362618473554422069842660512385110480349110297384486996164609917732097193747664927701070055003541515556948924664952407047080004559217948603663658335130195554645551251193856000000000000000000000000000000000000000000000,-1,-170992363393294288976888522362429201932536590796129599612916831995437109410406414890266507260642637308357662287490725460489363155107076417161513029911793555291721215012223901599214838021852596235813084285913119502303416731833280717944880860396114056386122408103624697448195782345352991490499365300055256150467759315799/45286655601238096329406539998898585543609613364515191231648516245603891157627898471517996759327370915211885089654306562850948769489280294519614873678988005334704226324687569483757992602196914862050484318018957641419902443451667384118368908168942943090710147069296276643334316112002619222340796354056529870165315527077935,-0.00377577812101937381
B_V,29,8098695065822897119884372622083762620597166767070947005353568028093017454989123124204509531496697900336723502676151586850176883113038750610931111179860160685482669392542719607381184968405096078698293153460441222356444598204394243547660029767943033839248526377228831172682325013846965422456639912473749802019515069571291539441129123/79152054110297695392927762110876891808676663707322768216896874681785164388159072762429242764614725976865720512644248165132284134272746421806680052016176359545792894460867793880054550357132074524724748303869465780594905652237064284307808427169679181452427096959974267848554238508531712000000000000000000000000000000000000000000000,1,121480425987343456798265589331256439308957501506064205080303520421395261824836846863067642972450468505050852540142273802752653246695581259163966667697902410282240040888140794110717774526076441180474397301906618335346668973065913653214900446519145507588727895658432467590234875207704481336849598687106247030292726043569373091616936845/30215478292568151711885727952750466626918375485091936532848338934139580524292241431756441844193478980153595301133084256585111640266442415599165065073374115218066184491823650275324933199256342288737761629511204358784227476778688611144298687242446835861200886049090215900836279042180773891075264747214241814514323407047860981759214125108,0.00402047006541091188
B_V,30,-106512894612130590795962239842759706914540618941778109685305819076498567793547921082726685212063570970282679952886637325392909164980399712873683413267062838616942383442723526532808834215512329712624556548632060575640917344690752097520365228708000383077077108532918600653421549385595739507124184609584868565882661516550523918314005619281670945817328459/1055604006924005063163209654080782007307445274262397419674266306001896240137195654721921230910632341580073566865037834143962151090808727942036255494083113150105748856421243356809073959630739394803551628661040835349427562864298657048985091774865973618853098912969690606221504716472163097591927338015129600000000000000000000000000000000000000000000000,-1,-532564473060652953979811199213798534572703094708890548426529095382492838967739605413633426060317854851413399764433186626964545824901998564368417066335314193084711917213617632664044171077561648563122782743160302878204586723453760487601826143540001915385385542664593003267107746927978697535620923047924342829413307582752619591570028096408354729086642295/232364753884000238804141030297154837204508192528769984550719291573813016624651835245625152528407247268433218549903165437941653740847025527208883196583110238394330417617557767947848523273531779370883343750286739273170590055335039208821897077745704766454266690095469201220634599145670155682108467709669823511200697820688155579477089273359988255765183623068,-0.00229193311015885243
B_V,31,2194878046801988254466572717928845253905025636118658864021397516649010604717548074723794123171876498379763648329393658354901279009132594824074661120154092201131532054662395836453374475447879822878498794409703213310754018206186529763575967049579030607144133050671523330577887788119810356765983489927365726987653471424529534915619845662632390900085246450894857095456058371/10700570432851835183616627859414546397017159506455157229260166539067324455046399876990429090001515729484280079050810710415713899370466177141133100868305701438127940081929263165669950371008472835254466274331977814028420205100445586085661936055273606325080726552349309872345018683272475841539072824432331908112013747814400000000000000000000000000000000000000000000000000,1,6584634140405964763399718153786535761715076908355976592064192549947031814152644224171382369515629495139290944988180975064703837027397784472223983360462276603394596163987187509360123426343639468635496383229109639932262054618559589290727901148737091821432399152014569991733663364359431070297950469782097180962960414273588604746859536987897172700255739352684571286368175113/2433646892458277113077317353770779833900727818714110049313820647471960910792581817349495168626882707554580731902919133461759877840319798436629025978691759528687908735678346341347599359323050303244566592472261107817844780146717484455835468208965546358079826544877705688620720550253630077516172673904365996889088873409945378005163012736096575643240263388796845757364883272772,0.00270566537849486035
B_V,32,-287256157320409913027008936348632010922377177209437645204761973266753602490959257246899798905891271191143370863344843200379358290324722454688617741264290442613472043553219488471761013990166612703730990061917315514127395828579887258962432898100843383413890688382167288979747397787119388531833247828777162703865672179092026540362851339311451390570295112615491166856950163955735950928493947/1620244743664850271734710679829946536020030573274791608786658221424904994384821844179541576673664271143744257554686930681813879854500000043557268172480774563951238011473237854662043284664020967856263777919721942258245473120700752641922565972700496087246501685837869514729990572215267298546896116081511302813741341723315801108711997440000000000000000000000000000000000000000000000000000,-1,-287256157320409913027008936348632010922377177209437645204761973266753602490959257246899798905891271191143370863344843200379358290324722454688617741264290442613472043553219488471761013990166612703730990061917315514127395828579887258962432898100843383413890688382167288979747397787119388531833247828777162703865672179092026540362851339311451390570295112615491166856950163955735950928493947/212660632223330855651035519001948083601067021248990463776147563961571023087974289735788065805263612714084894062410146735393687445076383535422748076522236356364617911703657387037468384223177929314126414989908940037781932349662681939667851325110019365797070329963352697789002391063079962988784061043395015092986027929729875350464529611343470134155037561000864601579703185951822112420998828475,-0.00135077261041310513
