sampleIndex,epsilonExact,muExact,muDecimal,normalGainSquaredExact,normalGainDecimal,planarGainSquaredExact,planarGainDecimal,formalPlanarUpperBoundExact,classification
407,1/8,7/400,0.017500000000000002,159951/160000,0.99984686327457173,295749399/25888000000,0.10688399681300227,9/16,exact squared-gain presentation row
408,1/8,1/50,0.02,2499/2500,0.99979997999599901,7497/687500,0.10442570216535425,9/16,exact squared-gain presentation row
409,1/8,9/400,0.022499999999999999,159919/160000,0.99974684295575544,268823839/25856000000,0.10196549217744022,9/16,exact squared-gain presentation row
410,1/8,1/40,0.025000000000000001,1599/1600,0.99968745115661028,1599/161500,0.099503410959472433,9/16,exact squared-gain presentation row
411,1/8,11/400,0.0275,159879/160000,0.99962180348369756,81058653/8608000000,0.097039502672861447,9/16,exact squared-gain presentation row
412,1/8,3/100,0.029999999999999999,9991/10000,0.9995498987044118,3606751/403250000,0.094573811531788968,9/16,exact squared-gain presentation row
413,1/8,13/400,0.032500000000000001,159831/160000,0.99947173546829227,218808639/25792000000,0.09210638180478449,9/16,exact squared-gain presentation row
414,1/8,7/200,0.035000000000000003,39951/40000,0.99938731230689537,359559/44750000,0.089637257816305466,9/16,exact squared-gain presentation row
415,1/8,3/80,0.037499999999999999,6391/6400,0.99929662763365712,44737/5888000,0.087166483948321813,9/16,exact squared-gain presentation row
416,1/8,1/25,0.040000000000000001,624/625,0.99919967974374369,180336/25140625,0.084694104641904369,9/16,exact squared-gain presentation row
417,1/8,17/400,0.042500000000000003,159711/160000,0.99909646681389075,57975093/8576000000,0.082220164398817991,9/16,exact squared-gain presentation row
418,1/8,9/200,0.044999999999999998,39919/40000,0.99898698690223187,159676/25109375,0.079744707783119123,9/16,exact squared-gain presentation row
419,1/8,19/400,0.047500000000000001,159639/160000,0.99887123794811516,153413079/25696000000,0.077267779422758323,9/16,exact squared-gain presentation row
420,1/8,1/20,0.050000000000000003,399/400,0.99874921777190895,1197/214000,0.074789424011187794,9/16,exact squared-gain presentation row
421,1/8,21/400,0.052499999999999998,159559/160000,0.9986209240747963,134189119/25664000000,0.07230968630897415,9/16,exact squared-gain presentation row
422,1/8,11/200,0.055,39879/40000,0.99848635443855716,279153/57250000,0.069828611145416719,9/16,exact squared-gain presentation row
423,1/8,23/400,0.057500000000000002,159471/160000,0.99834550632534025,12917151/2848000000,0.067346243420171467,9/16,exact squared-gain presentation row
424,1/8,3/50,0.059999999999999998,2491/2500,0.99819837707742243,420979/100062500,0.06486262810488086,9/16,exact squared-gain presentation row
425,1/8,1/16,0.0625,255/256,0.99804496391695696,255/65536,0.06237781024480981,9/16,exact squared-gain presentation row
426,1/8,13/200,0.065000000000000002,39831/40000,0.99788526394571031,119493/33312500,0.059891834960488007,9/16,exact squared-gain presentation row
427,1/8,27/400,0.067500000000000004,159271/160000,0.99771927414478667,84254359/25568000000,0.057404747449358716,9/16,exact squared-gain presentation row
428,1/8,7/100,0.070000000000000007,9951/10000,0.99754699137434122,1204071/399250000,0.054916592987434378,9/16,exact squared-gain presentation row
429,1/8,29/400,0.072499999999999995,159159/160000,0.99736841237328144,3342339/1216000000,0.052427416930959238,9/16,exact squared-gain presentation row
430,1/8,3/40,0.074999999999999997,1591/1600,0.99718353375895652,1591/638000,0.049937264718079133,9/16,exact squared-gain presentation row
431,1/8,31/400,0.077499999999999999,159039/160000,0.99699235202683478,57413079/25504000000,0.047446181870518717,9/16,exact squared-gain presentation row
432,1/8,2/25,0.080000000000000002,621/625,0.996794863550169,1863/921875,0.044954213995266376,9/16,exact squared-gain presentation row
433,1/8,33/400,0.082500000000000004,158911/160000,0.99659106457964997,45925279/25472000000,0.042461406786267031,9/16,exact squared-gain presentation row
434,1/8,17/200,0.085000000000000006,39711/40000,0.99638095124304737,39711/24859375,0.039967806026123043,9/16,exact squared-gain presentation row
435,1/8,7/80,0.087499999999999994,6351/6400,0.99616451954483898,19053/13568000,0.037473457587803474,9/16,exact squared-gain presentation row
436,1/8,9/100,0.089999999999999997,9919/10000,0.99594176536582701,69433/56750000,0.03497840743636195,9/16,exact squared-gain presentation row
437,1/8,37/400,0.092499999999999999,158631/160000,0.99571268446274197,26808639/25408000000,0.032482701630663365,9/16,exact squared-gain presentation row
438,1/8,19/200,0.095000000000000001,39639/40000,0.99547727246783491,118917/132250000,0.029986386325119595,9/16,exact squared-gain presentation row
439,1/8,39/400,0.097500000000000003,158479/160000,0.99523552488845568,19175959/25376000000,0.027489507771434593,9/16,exact squared-gain presentation row
440,1/8,1/10,0.10000000000000001,99/100,0.99498743710661997,99/158500,0.024992112320358965,9/16,exact squared-gain presentation row
441,1/8,41/400,0.10249999999999999,158319/160000,0.99473300437856182,1424871/2816000000,0.022494246423454396,9/16,exact squared-gain presentation row
442,1/8,21/200,0.105,39559/40000,0.99447222183427531,39559/98937500,0.019995956634868084,9/16,exact squared-gain presentation row
443,1/8,43/400,0.1075,158151/160000,0.99420508447704081,1107057/3616000000,0.017497289613117504,9/16,exact squared-gain presentation row
444,1/8,11/100,0.11,9879/10000,0.99393158718294083,29637/131750000,0.01499829212288571,9/16,exact squared-gain presentation row
445,1/8,9/80,0.1125,6319/6400,0.99365172470036001,6319/40448000,0.012499011036827441,9/16,exact squared-gain presentation row
446,1/8,23/200,0.115,39471/40000,0.99336549164947341,39471/394750000,0.0099994933373863081,9/16,exact squared-gain presentation row
447,1/8,47/400,0.11749999999999999,157791/160000,0.9930728825217211,473373/8416000000,0.0074997861186233208,9/16,exact squared-gain presentation row
448,1/8,3/25,0.12,616/625,0.99277389167926855,616/24640625,0.004999936588056992,9/16,exact squared-gain presentation row
449,1/8,49/400,0.1225,157599/160000,0.99246851335445396,157599/25216000000,0.002499992068515337,9/16,exact squared-gain presentation row
450,1/8,1/8,0.125,63/64,0.99215674164922152,0/1,0,9/16,exact squared-gain presentation row
451,1/8,51/400,0.1275,157399/160000,0.99183857053454016,157399/25184000000,0.0024999920584371955,9/16,exact squared-gain presentation row
452,1/8,13/100,0.13,9831/10000,0.99151399384980943,9831/393250000,0.0049999364268049993,9/16,exact squared-gain presentation row
453,1/8,53/400,0.13250000000000001,157191/160000,0.9911830053022499,471573/8384000000,0.0074997853022705039,9/16,exact squared-gain presentation row
454,1/8,27/200,0.13500000000000001,39271/40000,0.99084559846627973,39271/392750000,0.0099994907572436478,9/16,exact squared-gain presentation row
455,1/8,11/80,0.13750000000000001,6279/6400,0.9905017667828766,6279/40192000,0.012499004737448163,9/16,exact squared-gain presentation row
456,1/8,7/50,0.14000000000000001,2451/2500,0.99015150355892512,7353/32687500,0.014998279059978657,9/16,exact squared-gain presentation row
457,1/8,57/400,0.14249999999999999,156751/160000,0.98979480196654901,156751/512000000,0.017497265411343568,9/16,exact squared-gain presentation row
458,1/8,29/200,0.14499999999999999,39159/40000,0.98943165504242891,39159/97937500,0.01999591534549364,9/16,exact squared-gain presentation row
459,1/8,59/400,0.14749999999999999,156519/160000,0.98906205568710392,469557/928000000,0.022494180281835658,9/16,exact squared-gain presentation row
460,1/8,3/20,0.14999999999999999,391/400,0.98868599666425949,391/626000,0.024992011503231104,9/16,exact squared-gain presentation row
461,1/8,61/400,0.1525,156279/160000,0.98830347059999746,18909759/25024000000,0.027489360153979427,9/16,exact squared-gain presentation row
462,1/8,31/200,0.155,39039/40000,0.9879144699820932,117117/130250000,0.02998617723778562,9/16,exact squared-gain presentation row
463,1/8,63/400,0.1575,156031/160000,0.98751898715923425,26369239/24992000000,0.032482413615711761,9/16,exact squared-gain presentation row
464,1/8,4/25,0.16,609/625,0.98711701434024535,4263/3484375,0.034978020004112174,9/16,exact squared-gain presentation row
465,1/8,13/80,0.16250000000000001,6231/6400,0.9867085435932943,18693/13312000,0.037472946972551976,9/16,exact squared-gain presentation row
466,1/8,33/200,0.16500000000000001,38911/40000,0.98629356684508485,38911/24359375,0.039967144941708471,9/16,exact squared-gain presentation row
467,1/8,67/400,0.16750000000000001,155511/160000,0.98587207588003023,44942679/24928000000,0.042460564181255302,9/16,exact squared-gain presentation row
468,1/8,17/100,0.17000000000000001,9711/10000,0.98544406233941051,87399/43250000,0.044953154807728796,9/16,exact squared-gain presentation row
469,1/8,69/400,0.17249999999999999,155239/160000,0.98500951772051415,56041279/24896000000,0.047444866782376249,9/16,exact squared-gain presentation row
470,1/8,7/40,0.17499999999999999,1551/1600,0.98456843337576083,1551/622000,0.049935649908985837,9/16,exact squared-gain presentation row
471,1/8,71/400,0.17749999999999999,154959/160000,0.98412080051180706,3254139/1184000000,0.052425453831697631,9/16,exact squared-gain presentation row
472,1/8,9/50,0.17999999999999999,2419/2500,0.98366661018863499,292699/97062500,0.054914228032795491,9/16,exact squared-gain presentation row
473,1/8,73/400,0.1825,154671/160000,0.9832058533186222,81820959/24832000000,0.057401921830479458,9/16,exact squared-gain presentation row
474,1/8,37/200,0.185,38631/40000,0.98273852066559397,115893/32312500,0.059888484376618124,9/16,exact squared-gain presentation row
475,1/8,3/16,0.1875,247/256,0.98226460284385697,247/63488,0.062373864654480755,9/16,exact squared-gain presentation row
476,1/8,19/100,0.19,9639/10000,0.98178409031721425,1628991/387250000,0.064858011476448679,9/16,exact squared-gain presentation row
477,1/8,77/400,0.1925,154071/160000,0.98129697339796174,12479751/2752000000,0.067340873481705518,9/16,exact squared-gain presentation row
478,1/8,39/200,0.19500000000000001,38479/40000,0.98080324224586457,269353/55250000,0.069822399133906018,9/16,exact squared-gain presentation row
479,1/8,79/400,0.19750000000000001,153759/160000,0.9803028868671152,129311319/24736000000,0.072302536718822766,9/16,exact squared-gain presentation row
480,1/8,1/5,0.20000000000000001,24/25,0.9797958971132712,72/12875,0.074781234341970704,9/16,exact squared-gain presentation row
481,1/8,81/400,0.20250000000000001,153439/160000,0.97928226268017327,147454879/24704000000,0.077258439926208747,9/16,exact squared-gain presentation row
482,1/8,41/200,0.20499999999999999,38319/40000,0.97876197310684276,153276/24109375,0.079734101209318273,9/16,exact squared-gain presentation row
483,1/8,83/400,0.20749999999999999,153111/160000,0.97823501777435873,55579293/8224000000,0.082208165741557815,9/16,exact squared-gain presentation row
484,1/8,21/100,0.20999999999999999,9559/10000,0.97770138590471478,2762551/385250000,0.08468058088319376,9/16,exact squared-gain presentation row
485,1/8,17/80,0.21249999999999999,6111/6400,0.97716106655965373,42777/5632000,0.087151293802006383,9/16,exact squared-gain presentation row
486,1/8,43/200,0.215,38151/40000,0.97661404863948176,38151/4750000,0.089620251470770879,9/16,exact squared-gain presentation row
487,1/8,87/400,0.2175,152431/160000,0.97606032088186023,208678039/24608000000,0.09208740066471284,9/16,exact squared-gain presentation row
488,1/8,11/50,0.22,2379/2500,0.97549987186057585,858819/96062500,0.094552687958937731,9/16,exact squared-gain presentation row
489,1/8,89/400,0.2225,152079/160000,0.97493268998428806,77104053/8192000000,0.097016059725833853,9/16,exact squared-gain presentation row
490,1/8,9/40,0.22500000000000001,1519/1600,0.97435876349525385,1519/153500,0.099477462132448388,9/16,exact squared-gain presentation row
491,1/8,91/400,0.22750000000000001,151719/160000,0.97377808046802949,255039639/24544000000,0.10193684113783576,9/16,exact squared-gain presentation row
492,1/8,23/100,0.23000000000000001,9471/10000,0.97319062880814877,198891/18250000,0.10439414249037812,9/16,exact squared-gain presentation row
493,1/8,93/400,0.23250000000000001,151351/160000,0.97259639625077776,279847999/24512000000,0.10684931172507718,9/16,exact squared-gain presentation row
494,1/8,47/200,0.23499999999999999,37791/40000,0.97199537035934491,4572711/382750000,0.10930229416081698,9/16,exact squared-gain presentation row
495,1/8,19/80,0.23749999999999999,6039/6400,0.97138753852414639,54351/4352000,0.11175303489759698,9/16,exact squared-gain presentation row
496,1/8,6/25,0.23999999999999999,589/625,0.97077288796092776,311581/23890625,0.11420147881373494,9/16,exact squared-gain presentation row
497,1/8,97/400,0.24249999999999999,150591/160000,0.97015140570943881,332655519/24448000000,0.116647570563039,9/16,exact squared-gain presentation row
498,1/8,49/200,0.245,37599/40000,0.9695230786319633,112797/7953125,0.11909125457194844,9/16,exact squared-gain presentation row
499,1/8,99/400,0.2475,150199/160000,0.96888789341182291,51518257/3488000000,0.12153247503664241,9/16,exact squared-gain presentation row
500,1/8,1/4,0.25,15/16,0.96824583655185426,15/976,0.12397117592011618,9/16,exact squared-gain presentation row
501,1/8,101/400,0.2525,149799/160000,0.96759689437285812,129875733/8128000000,0.12640730094922412,9/16,exact squared-gain presentation row
502,1/8,51/200,0.255,37399/40000,0.96694105301202304,6320431/380750000,0.12884079361168893,9/16,exact squared-gain presentation row
503,1/8,103/400,0.25750000000000001,149391/160000,0.96627829842131918,419639319/24352000000,0.1312715971530764,9/16,exact squared-gain presentation row
504,1/8,13/50,0.26000000000000001,2331/2500,0.96560861636586492,188811/10562500,0.13369965457373514,9/16,exact squared-gain presentation row
505,1/8,21/80,0.26250000000000001,5959/6400,0.96493199242226391,721039/38912000,0.13612490862570031,9/16,exact squared-gain presentation row
506,1/8,53/200,0.26500000000000001,37191/40000,0.9642484119769138,37191/1937500,0.13854730180956132,9/16,exact squared-gain presentation row
507,1/8,107/400,0.26750000000000002,148551/160000,0.96355786022428358,160880733/8096000000,0.14096677637129196,9/16,exact squared-gain presentation row
508,1/8,27/100,0.27000000000000002,9271/10000,0.96286032216516226,7796911/379250000,0.14338327429904288,9/16,exact squared-gain presentation row
509,1/8,109/400,0.27250000000000002,148119/160000,0.96215578260487522,515602239/24256000000,0.14579673731989565,9/16,exact squared-gain presentation row
510,1/8,11/40,0.27500000000000002,1479/1600,0.96144422615147052,4437/202000,0.14820710689657721,9/16,exact squared-gain presentation row
511,1/8,111/400,0.27750000000000002,147679/160000,0.96072563721387172,549513559/24224000000,0.15061432422413459,9/16,exact squared-gain presentation row
512,1/8,7/25,0.28000000000000003,576/625,0.95999999999999996,553536/23640625,0.15301833022656849,9/16,exact squared-gain presentation row
513,1/8,113/400,0.28249999999999997,147231/160000,0.95926729851486126,3091851/128000000,0.15541906555342558,9/16,exact squared-gain presentation row
514,1/8,57/200,0.28499999999999998,36751/40000,0.95852751655860147,588016/23609375,0.15781647057634821,9/16,exact squared-gain presentation row
515,1/8,23/80,0.28749999999999998,5871/6400,0.95778063772452615,992199/38656000,0.16021048538558094,9/16,exact squared-gain presentation row
516,1/8,29/100,0.28999999999999998,9159/10000,0.95702664539708615,3324717/125750000,0.16260104978643311,9/16,exact squared-gain presentation row
517,1/8,117/400,0.29249999999999998,146311/160000,0.95626552274982701,656790079/24128000000,0.16498810329569646,9/16,exact squared-gain presentation row
518,1/8,59/200,0.29499999999999998,36519/40000,0.95549725274330333,10553991/376750000,0.167371585138017,9/16,exact squared-gain presentation row
519,1/8,119/400,0.29749999999999999,145839/160000,0.95472181812295465,231446493/8032000000,0.16975143424222028,9/16,exact squared-gain presentation row
520,1/8,3/10,0.29999999999999999,91/100,0.95393920141694566,637/21500,0.17212758923758906,9/16,exact squared-gain presentation row
521,1/8,121/400,0.30249999999999999,145359/160000,0.95314938493396717,732754719/24064000000,0.1744999884500926,9/16,exact squared-gain presentation row
522,1/8,61/200,0.30499999999999999,36279/40000,0.95235235076099856,326511/10437500,0.17686856989856642,9/16,exact squared-gain presentation row
523,1/8,123/400,0.3075,144871/160000,0.95154808076103015,772017559/24032000000,0.17923327129084185,9/16,exact squared-gain presentation row
524,1/8,31/100,0.31,9039/10000,0.95073655657074641,12374391/375250000,0.1815940300198241,9/16,exact squared-gain presentation row
525,1/8,5/16,0.3125,231/256,0.94991775959816649,693/20480,0.18395078315951796,9/16,exact squared-gain presentation row
526,1/8,63/200,0.315,36031/40000,0.9490916710202445,13007191/374750000,0.18630346746100029,9/16,exact squared-gain presentation row
527,1/8,127/400,0.3175,143871/160000,0.94825827178042588,121858737/3424000000,0.18865201934833778,9/16,exact squared-gain presentation row
528,1/8,8/25,0.32000000000000001,561/625,0.94741754258616084,284427/7796875,0.1909963749144494,9/16,exact squared-gain presentation row
529,1/8,129/400,0.32250000000000001,143359/160000,0.94656946390637386,894703519/23936000000,0.19333646991691233,9/16,exact squared-gain presentation row
530,1/8,13/40,0.32500000000000001,1431/1600,0.94571401596888693,1431/37375,0.19567223977370987,9/16,exact squared-gain presentation row
531,1/8,131/400,0.32750000000000001,142839/160000,0.94485117875779778,104129631/2656000000,0.19800361955892051,9/16,exact squared-gain presentation row
532,1/8,33/100,0.33000000000000002,8911/10000,0.94398093201081135,14979391/373250000,0.2003305439983474,9/16,exact squared-gain presentation row
533,1/8,133/400,0.33250000000000002,142311/160000,0.94310325521652183,980380479/23872000000,0.20265294746508591,9/16,exact squared-gain presentation row
534,1/8,67/200,0.33500000000000002,35511/40000,0.94221812761164814,745731/17750000,0.204970763975029,9/16,exact squared-gain presentation row
535,1/8,27/80,0.33750000000000002,5671/6400,0.94132552817821746,1638919/38144000,0.20728392718230906,9/16,exact squared-gain presentation row
536,1/8,17/50,0.34000000000000002,2211/2500,0.9404254356406998,4088139/93062500,0.20959237037467437,9/16,exact squared-gain presentation row
537,1/8,137/400,0.34250000000000003,141231/160000,0.93951782846308995,356325813/7936000000,0.21189602646879938,9/16,exact squared-gain presentation row
538,1/8,69/200,0.34499999999999997,35239/40000,0.93860268484593623,4263919/92937500,0.21419482800552728,9/16,exact squared-gain presentation row
539,1/8,139/400,0.34749999999999998,140679/160000,0.93767998272331698,1114318359/23776000000,0.21648870714504356,9/16,exact squared-gain presentation row
540,1/8,7/20,0.34999999999999998,351/400,0.93674969975975975,1053/22000,0.21877759566197899,9/16,exact squared-gain presentation row
541,1/8,141/400,0.35249999999999998,140119/160000,0.93581181334710672,165760777/3392000000,0.22106142494044073,9/16,exact squared-gain presentation row
542,1/8,71/200,0.35499999999999998,34959/40000,0.93486630060132125,18493311/370750000,0.22334012596897018,9/16,exact squared-gain presentation row
543,1/8,143/400,0.35749999999999998,139551/160000,0.93391313835923739,402325533/7904000000,0.22561362933542564,9/16,exact squared-gain presentation row
544,1/8,9/25,0.35999999999999999,544/625,0.93295230317524802,1201696/23140625,0.2278818652217888,9/16,exact squared-gain presentation row
545,1/8,29/80,0.36249999999999999,5559/6400,0.93198377131793453,2006799/37888000,0.230144763398893,9/16,exact squared-gain presentation row
546,1/8,73/200,0.36499999999999999,34671/40000,0.93100751876663168,416052/7703125,0.23240225322107191,9/16,exact squared-gain presentation row
547,1/8,147/400,0.36749999999999999,138391/160000,0.93002352120793164,1302120919/23648000000,0.23465426362072703,9/16,exact squared-gain presentation row
548,1/8,37/100,0.37,8631/10000,0.92903175403212135,2960433/52750000,0.23690072310281171,9/16,exact squared-gain presentation row
549,1/8,149/400,0.3725,137799/160000,0.92803219232955492,150063111/2624000000,0.23914155973923101,9/16,exact squared-gain presentation row
550,1/8,3/8,0.375,55/64,0.92702481088695787,55/944,0.24137670116315446,9/16,exact squared-gain presentation row
551,1/8,151/400,0.3775,137199/160000,0.92600958418366275,1399566999/23584000000,0.24360607456324085,9/16,exact squared-gain presentation row
552,1/8,19/50,0.38,2139/2500,0.92498648638777425,1854513/30687500,0.24582960667777237,9/16,exact squared-gain presentation row
553,1/8,153/400,0.38250000000000001,136591/160000,0.92395549135226207,1449093919/23552000000,0.24804722378869692,9/16,exact squared-gain presentation row
554,1/8,77/200,0.38500000000000001,34071/40000,0.92291657261098092,5757999/91937500,0.25025885171557594,9/16,exact squared-gain presentation row
555,1/8,31/80,0.38750000000000001,5439/6400,0.9218697033746146,16317/256000,0.2524644158094364,9/16,exact squared-gain presentation row
556,1/8,39/100,0.39000000000000001,8479/10000,0.92081485652654405,23817511/367250000,0.254663840946524,9/16,exact squared-gain presentation row
557,1/8,157/400,0.39250000000000002,135351/160000,0.91975200461863627,1549633599/23488000000,0.25685705152195676,9/16,exact squared-gain presentation row
558,1/8,79/200,0.39500000000000002,33759/40000,0.91868111986695367,2734479/40750000,0.25904397144327507,9/16,exact squared-gain presentation row
559,1/8,159/400,0.39750000000000002,134719/160000,0.91760217414738066,1600596439/23456000000,0.26122452412388791,9/16,exact squared-gain presentation row
560,1/8,2/5,0.40000000000000002,21/25,0.91651513899116799,2541/36625,0.26339863247641149,9/16,exact squared-gain presentation row
561,1/8,161/400,0.40250000000000002,134079/160000,0.91541998558038917,550662453/7808000000,0.26556621890589815,9/16,exact squared-gain presentation row
562,1/8,81/200,0.40500000000000003,33439/40000,0.91431668474331151,234073/3265625,0.26772720530295413,9/16,exact squared-gain presentation row
563,1/8,163/400,0.40749999999999997,133431/160000,0.91320520694967566,1703780439/23392000000,0.2698815130367424,9/16,exact squared-gain presentation row
564,1/8,41/100,0.40999999999999998,8319/10000,0.91208552230588547,9009477/121750000,0.27202906294786905,9/16,exact squared-gain presentation row
565,1/8,33/80,0.41249999999999998,5311/6400,0.91095760055010244,2809519/37376000,0.27416977534114956,9/16,exact squared-gain presentation row
566,1/8,83/200,0.41499999999999998,33111/40000,0.90982141104724501,27846351/364750000,0.27630356997825395,9/16,exact squared-gain presentation row
567,1/8,167/400,0.41749999999999998,132111/160000,0.90867692278389023,2480751/32000000,0.27843036607022592,9/16,exact squared-gain presentation row
568,1/8,21/50,0.41999999999999998,2059/2500,0.90752410436307418,7167379/91062500,0.28055008226987477,9/16,exact squared-gain presentation row
569,1/8,169/400,0.42249999999999999,131439/160000,0.90636292399899065,265901097/3328000000,0.28266263666403696,9/16,exact squared-gain presentation row
570,1/8,17/40,0.42499999999999999,1311/1600,0.90519334951158359,3933/48500,0.28476794676570366,9/16,exact squared-gain presentation row
571,1/8,171/400,0.42749999999999999,130759/160000,0.90401534832103381,1914442519/23264000000,0.28686592950601159,9/16,exact squared-gain presentation row
572,1/8,43/100,0.42999999999999999,8151/10000,0.90282888744213319,30329871/363250000,0.2889565012260944,9/16,exact squared-gain presentation row
573,1/8,173/400,0.4325,130071/160000,0.9016339334785487,655948053/7744000000,0.29103957766879079,9/16,exact squared-gain presentation row
574,1/8,87/200,0.435,32431/40000,0.90043045261696919,31166191/362750000,0.29311507397020647,9/16,exact squared-gain presentation row
575,1/8,7/16,0.4375,207/256,0.89921841062113494,5175/59392,0.29518290465112618,9/16,exact squared-gain presentation row
576,1/8,11/25,0.44,504/625,0.89799777282574589,31752/359375,0.29724298360827262,9/16,exact squared-gain presentation row
577,1/8,177/400,0.4425,128671/160000,0.89676850413024656,2075334559/23168000000,0.29929522410540838,9/16,exact squared-gain presentation row
578,1/8,89/200,0.44500000000000001,32079/40000,0.89553056899248284,2053056/22609375,0.30133953876427766,9/16,exact squared-gain presentation row
579,1/8,179/400,0.44750000000000001,127959/160000,0.89428393142223006,709788573/7712000000,0.30337583955538322,9/16,exact squared-gain presentation row
580,1/8,9/20,0.45000000000000001,319/400,0.89302855497458755,53911/578000,0.30540403778859548,9/16,exact squared-gain presentation row
581,1/8,181/400,0.45250000000000001,127239/160000,0.89176440274323576,2183548479/23104000000,0.3074240441035892,9/16,exact squared-gain presentation row
582,1/8,91/200,0.45500000000000002,31719/40000,0.89049143735355474,11513997/120250000,0.30943576846010351,9/16,exact squared-gain presentation row
583,1/8,183/400,0.45750000000000002,126511/160000,0.88920962095559897,319693297/3296000000,0.311439120128022,9/16,exact squared-gain presentation row
584,1/8,23/50,0.46000000000000002,1971/2500,0.88791891521692456,8847819/90062500,0.3134340076772667,9/16,exact squared-gain presentation row
585,1/8,37/80,0.46250000000000002,5031/6400,0.88661928131526668,407511/4096000,0.31542033896750382,9/16,exact squared-gain presentation row
586,1/8,93/200,0.46500000000000002,31351/40000,0.88531067993106238,9060439/89937500,0.31739802113765403,9/16,exact squared-gain presentation row
587,1/8,187/400,0.46750000000000003,125031/160000,0.88399307123981463,2346706839/23008000000,0.31936696059520497,9/16,exact squared-gain presentation row
588,1/8,47/100,0.46999999999999997,7791/10000,0.88266641490429443,12364317/119750000,0.32132706300531894,9/16,exact squared-gain presentation row
589,1/8,189/400,0.47249999999999998,124279/160000,0.88133067006657606,2401194559/22976000000,0.32327823327973254,9/16,exact squared-gain presentation row
590,1/8,19/40,0.47499999999999998,1239/1600,0.87998579533990207,8673/82000,0.32522037556544153,9/16,exact squared-gain presentation row
591,1/8,191/400,0.47749999999999998,123519/160000,0.87863174880037198,818560413/7648000000,0.32715339323316656,9/16,exact squared-gain presentation row
592,1/8,12/25,0.47999999999999998,481/625,0.87726848797845236,2424721/22390625,0.32907718886559395,9/16,exact squared-gain presentation row
593,1/8,193/400,0.48249999999999998,122751/160000,0.87589596985030138,2510135199/22912000000,0.33099166424538573,9/16,exact squared-gain presentation row
594,1/8,97/200,0.48499999999999999,30591/40000,0.87451415082890449,91773/828125,0.33289672034295315,9/16,exact squared-gain presentation row
595,1/8,39/80,0.48749999999999999,4879/6400,0.8731229867550161,4103239/36608000,0.33479225730398737,9/16,exact squared-gain presentation row
596,1/8,49/100,0.48999999999999999,7599/10000,0.87172243288790041,40495071/357250000,0.33667817443674214,9/16,exact squared-gain presentation row
597,1/8,197/400,0.49249999999999999,121191/160000,0.87031244389586893,124705539/1088000000,0.33855437019906026,9/16,exact squared-gain presentation row
598,1/8,99/200,0.495,30199/40000,0.86889297384660669,41342431/356750000,0.34042074218513901,9/16,exact squared-gain presentation row
599,1/8,199/400,0.4975,120399/160000,0.86746397619728277,2672978199/22816000000,0.34227718711202648,9/16,exact squared-gain presentation row
600,1/8,1/2,0.5,3/4,0.8660254037844386,9/76,0.34412360080584264,9/16,exact squared-gain presentation row
601,1/8,201/400,0.50249999999999995,119599/160000,0.86457720881364897,2726976799/22784000000,0.34595987818771717,9/16,exact squared-gain presentation row
602,1/8,101/200,0.505,29799/40000,0.86311934284894809,10757439/88937500,0.34778591325943697,9/16,exact squared-gain presentation row
603,1/8,203/400,0.50749999999999995,118791/160000,0.86165175680201567,308975391/2528000000,0.34960159908879573,9/16,exact squared-gain presentation row
604,1/8,51/100,0.51000000000000001,7399/10000,0.86017440092111552,895279/7250000,0.351406827794637,9/16,exact squared-gain presentation row
605,1/8,41/80,0.51249999999999996,4719/6400,0.85868722477977977,4534959/36352000,0.35320149053158367,9/16,exact squared-gain presentation row
606,1/8,103/200,0.51500000000000001,29391/40000,0.85719017726523206,14901237/118250000,0.35498547747444398,9/16,exact squared-gain presentation row
607,1/8,207/400,0.51749999999999996,117151/160000,0.8556832065665424,2887654999/22688000000,0.35675867780228632,9/16,exact squared-gain presentation row
608,1/8,13/25,0.52000000000000002,456/625,0.85416626016250496,2845896/22140625,0.35852097968217334,9/16,exact squared-gain presentation row
609,1/8,209/400,0.52249999999999996,116319/160000,0.85263928480923279,980220213/7552000000,0.36027227025254627,9/16,exact squared-gain presentation row
610,1/8,21/40,0.52500000000000002,1159/1600,0.85110222652746004,4636/35375,0.36201243560624946,9/16,exact squared-gain presentation row
611,1/8,211/400,0.52749999999999997,115479/160000,0.8495550305895434,427618737/3232000000,0.36374136077318553,9/16,exact squared-gain presentation row
612,1/8,53/100,0.53000000000000003,7191/10000,0.8479976415061542,5242239/39250000,0.36545892970259058,9/16,exact squared-gain presentation row
613,1/8,213/400,0.53249999999999997,114631/160000,0.84643000301265314,3045631039/22592000000,0.36716502524491895,9/16,exact squared-gain presentation row
614,1/8,107/200,0.53500000000000003,28551/40000,0.84485205805513663,47994231/352750000,0.36885952913332637,9/16,exact squared-gain presentation row
615,1/8,43/80,0.53749999999999998,4551/6400,0.84326374877614652,1652013/12032000,0.3705423219647403,9/16,exact squared-gain presentation row
616,1/8,27/50,0.54000000000000004,1771/2500,0.84166501650003256,12200419/88062500,0.37221328318050573,9/16,exact squared-gain presentation row
617,1/8,217/400,0.54249999999999998,112911/160000,0.84005580171795735,3148974879/22528000000,0.37387229104659386,9/16,exact squared-gain presentation row
618,1/8,109/200,0.54500000000000004,28119/40000,0.83843604407253391,590499/4187500,0.37551922263336157,9/16,exact squared-gain presentation row
