panel,sample_index,n,J,s,r_exp_minus_s,energy_over_pi_cubed,D32_lower_bound_frequency_factor,l2_partial_sum,l2_partial_sum_exact,l2_limit_exact,lacunary_unit_term,lacunary_partial_lower_sum,Pi_s,centered_S_s,D_s,Q_s_magnitude,div_Q_s,normalization,analytic_formula,claim_qualifier
C,25,,,0.017972159093690116,0.98218837699223172,,,,,,,,0,0,0.052335731612917789,0.010242793786378599,0.025089618317177653,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,26,,,0.018956210156835997,0.98122232887393857,,,,,,,,0,0,0.05511208999797465,0.010761253157503377,0.026359579228797614,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,27,,,0.019994142141569003,0.98020441518863533,,,,,,,,0,0,0.058030663932583791,0.01130352664370597,0.027687872571034139,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,28,,,0.021088905254255261,0.97913191072827221,,,,,,,,0,0,0.061098178122602362,0.011870436245574276,0.029076511825895851,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,29,,,0.022243611237428903,0.97800195376222476,,,,,,,,0,0,0.064321612819728299,0.012462800186870191,0.030527501224094811,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,30,,,0.023461542214574575,0.97681153995510495,,,,,,,,0,0,0.067708206281077779,0.013081428109132895,0.032042823974276574,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,31,,,0.024746160019198826,0.97555751610225427,,,,,,,,0,0,0.071265456253783832,0.013727115628159998,0.033624428929176581,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,32,,,0.0261011160347073,0.9742365736888654,,,,,,,,0,0,0.075001120336621735,0.014400638197224511,0.035274215553633081,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,33,,,0.027530261573056408,0.97284524228062985,,,,,,,,0,0,0.078923215056616813,0.015102744219801987,0.036994017054282902,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,34,,,0.029037658821679802,0.97137988275600906,,,,,,,,0,0,0.083040013483826169,0.015834147352925904,0.038785581526709412,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,35,,,0.030627592389804816,0.96983668039272075,,,,,,,,0,0,0.087360041192026061,0.016595517941174615,0.040650550973081429,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,36,,,0.032304581486978332,0.96821163782383968,,,,,,,,0,0,0.091892070356977634,0.017387473520880131,0.042590438042309997,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,37,,,0.034073392768417768,0.96650056788206185,,,,,,,,0,0,0.09664511176742728,0.018210568334613403,0.044606600345887676,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,38,,,0.035939053883699175,0.96469908635421853,,,,,,,,0,0,0.10162840450711201,0.019065281797535492,0.046700212206334024,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,39,,,0.037906867767292476,0.96280260467207035,,,,,,,,0,0,0.10685140304903884,0.019952005860048094,0.048872233702137668,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,40,,,0.039982427711563781,0.96080632256981413,,,,,,,,0,0,0.11232376148638927,0.020871031215583449,0.05112337688387919,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,41,,,0.042171633265087459,0.95870522074362552,,,,,,,,0,0,0.11805531460786471,0.021822532308636983,0.053454069051560804,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,42,,,0.044480707001457703,0.95649405355398986,,,,,,,,0,0,0.1240560555094937,0.022806551106585665,0.055864413003841928,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,43,,,0.046916212206262638,0.95416734181757634,,,,,,,,0,0,0.13033610942028728,0.023822979609811772,0.058354144196766738,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,44,,,0.049485071532494602,0.95171936574203875,,,,,,,,0,0,0.1369057034061581,0.024871541088550532,0.060922584783614897,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,45,,,0.052194586677422168,0.9491441580644262,,,,,,,,0,0,0.14377513160578342,0.025951770052115485,0.06356859454972455,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,46,,,0.055052459136853596,0.94643549746189981,,,,,,,,0,0,0.15095471564429977,0.027062990977176102,0.066290518807626569,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,47,,,0.058066812095783071,0.94358690231223663,,,,,,,,0,0,0.15845475986661076,0.02820429584702144,0.069086133379701209,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,48,,,0.061246213517641653,0.9405916248911933,,,,,,,,0,0,0.16628550103259832,0.029374520583718103,0.071952586868990837,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,49,,,0.064599700497781673,0.93744264610425787,,,,,,,,0,0,0.17445705212262105,0.030572220490225559,0.074886340504913218,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,50,,,0.068136804950416185,0.9341326708616714,,,,,,,,0,0,0.18297933991450727,0.031795644860318821,0.077883105950527637,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,51,,,0.071867580702026437,0.93065412421790128,,,,,,,,0,0,0.19186203601402543,0.033042710960990145,0.080937781572694656,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,52,,,0.07580263206824657,0.92699914841001996,,,,,,,,0,0,0.20111448105090027,0.034310977645212036,0.084044387806809812,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,53,,,0.079953143995453099,0.92315960094371929,,,,,,,,0,0,0.21074560179330926,0.035597618912771446,0.08719600239433814,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,54,,,0.084330913852732184,0.91912705389098548,,,,,,,,0,0,0.22076382098697581,0.036899397803448135,0.090384696434422346,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,55,,,0.088948384964590996,0.91489279457977224,,,,,,,,0,0,0.23117695979212483,0.038212641080019503,0.093601472370162891,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,56,,,0.093818681979725108,0.91044782787334144,,,,,,,,0,0,0.24199213277431764,0.039533215238109501,0.096836205224988869,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,57,,,0.098955648176374658,0.90578288025523401,,,,,,,,0,0,0.25321563550526244,0.040856504465143439,0.10007758861334398,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,58,,,0.1043738848103047,0.90088840595506214,,,,,,,,0,0,0.26485282494865076,0.042177391260618841,0.10331308727023872,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,59,,,0.11008879261725296,0.89575459537036206,,,,,,,,0,0,0.27690799294547708,0.043490240523115981,0.10652889807254592,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,60,,,0.11611661558781017,0.89037138606051525,,,,,,,,0,0,0.28938423327438872,0.044788888003972273,0.10970992175639463,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,61,,,0.1224744871391589,0.88472847661005438,,,,,,,,0,0,0.30228330294643019,0.046066634120732627,0.11283974776328015,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,62,,,0.1291804788149086,0.87881534368031966,,,,,,,,0,0,0.31560547860061461,0.047316244212076447,0.11590065486450518,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,63,,,0.13625365165145092,0.87262126259013884,,,,,,,,0,0,0.32934940909712412,0.048529956395826385,0.11887363040929164,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,64,,,0.14371411035683776,0.86613533178764179,,,,,,,,0,0,0.34351196565783992,0.049699498257953313,0.12173841120432707,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,65,,,0.15158306045618125,0.85934650159607184,,,,,,,,0,0,0.3580880911777542,0.050816113647385724,0.12447354914737561,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,66,,,0.1598828685660027,0.85224360763602269,,,,,,,,0,0,0.37307065062286715,0.051870600872205949,0.12705650478846864,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,67,,,0.16863712596885574,0.84481540934430621,,,,,,,,0,0,0.38845028473644722,0.052853363579876293,0.12946377196049699,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,68,,,0.17787071566892579,0.83705063402494917,,,,,,,,0,0,0.40421526959048415,0.053754475549125512,0.1316710364862721,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,69,,,0.18760988311920596,0.82893802687977192,,,,,,,,0,0,0.42035138483563583,0.054563760515056688,0.13365337170930913,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,70,,,0.19788231082128133,0.82046640747368116,,,,,,,,0,0,0.43684179381181865,0.055270887982573867,0.13538547318783273,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,71,,,0.2087171970097646,0.81162473309206695,,,,,,,,0,0,0.4536669389718242,0.055865485747052253,0.13684193431300434,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,72,,,0.22014533864503399,0.80240216944328913,,,,,,,,0,0,0.47080445632871387,0.05633726952648551,0.13799756384153758,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,73,,,0.2321992189501729,0.79278816914670824,,,,,,,,0,0,0.4882291128490921,0.056676189708486722,0.13882774535097175,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,74,,,0.24491309974092232,0.78277255842446558,,,,,,,,0,0,0.50591277086146524,0.056872594722791839,0.13930883741894334,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,75,,,0.25832311881108649,0.7723456323814335,,,,,,,,0,0,0.52382438361297079,0.056917409962494343,0.13941861188891497,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,76,,,0.27246739265019676,0.76149825921049485,,,,,,,,0,0,0.5419300260687101,0.056802330496258602,0.13913672591676557,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,77,,,0.28738612478539943,0.75022199359740938,,,,,,,,0,0,0.56019296488518588,0.056520025045481766,0.13844522161075593,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,78,,,0.30312172005551585,0.73850919951870431,,,,,,,,0,0,0.57857377118265196,0.056064347857415361,0.13732904501256699,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,79,,,0.31971890514208468,0.72635318252486658,,,,,,,,0,0,0.5970304792718133,0.055430554207792804,0.1357765739687754,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,80,,,0.33722485569998756,0.71374833147708994,,,,,,,,0,0,0.61551879384248231,0.054615514343324734,0.13378014218080148,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,81,,,0.35568933044900619,0.70069026955642222,,,,,,,,0,0,0.63399234728427412,0.053617919763718533,0.1313365444906,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,82,,,0.3751648126074566,0.6871760141868315,,,,,,,,0,0,0.65240300777754145,0.052438474892606647,0.12844750637663321,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,83,,,0.39570665906990571,0.67320414530610728,,,,,,,,0,0,0.67070123757021549,0.051080066454363866,0.1251200988406474,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,84,,,0.41737325775299638,0.65877498117849564,,,,,,,,0,0,0.68883649945733672,0.049547902325047084,0.12136707852162562,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,85,,,0.44022619355661341,0.64389076066881257,,,,,,,,0,0,0.70675770793136372,0.047849611332602716,0.11720713215537208,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,86,,,0.46433042341212083,0.62855583058832054,,,,,,,,0,0,0.72441371981338565,0.045995295518892039,0.11266500458980713,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,87,,,0.48975446091522162,0.61277683637751856,,,,,,,,0,0,0.74175385746331868,0.043997526816976447,0.10777149064601163,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,88,,,0.51657057106824522,0.59656291401083494,,,,,,,,0,0,0.75872845597115135,0.041871281006603082,0.10256327334286636,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,89,,,0.5448549756853871,0.57992588059498518,,,,,,,,0,0,0.77528942413501223,0.039633803238966377,0.097082594501334857,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,90,,,0.57468807004474964,0.56288042069002386,,,,,,,,0,0,0.79139080763014213,0.037304401395397355,0.09137674857869231,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,91,,,0.60615465140298708,0.54544426491542608,,,,,,,,0,0,0.80698934166740455,0.034904166058766957,0.085497396741350401,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,92,,,0.63934416002209049,0.52763835692069061,,,,,,,,0,0,0.82204497973331747,0.032455618886420068,0.079499705557965955,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,93,,,0.6743509333933958,0.50948700431151916,,,,,,,,0,0,0.8365213847913312,0.029982294588292713,0.073441323059126595,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,94,,,0.71127447438142133,0.49101800864208955,,,,,,,,0,0,0.85038636968581927,0.027508265391891752,0.067381213919196326,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,95,,,0.75021973404971021,0.47226276912824761,,,,,,,,0,0,0.86361227447936906,0.025057620624693175,0.061378384698738145,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
