panel,series,record,component_i,component_j,parameter,x,y,exact_value,quantity_class,source_origin,formula,normalization
C,universal_curve,analytic-sample-097,,,z=0.97,0.96999999999999997,0.0087828070972463985,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-098,,,z=0.98,0.97999999999999998,0.0080490379233795987,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-099,,,z=0.99,0.98999999999999999,0.0073684321029560771,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-100,,,z=1.00,1,0.006737946999085467,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-101,,,z=1.01,1.01,0.0061546359437411897,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-102,,,z=1.02,1.02,0.0056156531640502768,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-103,,,z=1.03,1.03,0.0051182576644475848,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-104,,,z=1.04,1.04,0.0046598161386572842,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-105,,,z=1.05,1.05,0.0042378049857355361,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-106,,,z=1.06,1.0600000000000001,0.0038498115040192442,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-107,,,z=1.07,1.0700000000000001,0.0034935343358433769,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-108,,,z=1.08,1.0800000000000001,0.0031667832343817105,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-109,,,z=1.09,1.0900000000000001,0.0028674782219988608,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,universal_curve,analytic-sample-110,,,z=1.10,1.1000000000000001,0.0025936482071392541,z*exp(-5*z^2),analytic-function-sample,r073u-analytic-proof,f(z)=z exp(-5 z^2),sqrt(s)*D_L(s)/(2*sqrt(6))
C,exact_peak,unique-positive-maximum,,,z*=1/sqrt(10),0.31622776601683794,0.19180183554164498,exp(-1/2)/sqrt(10),exact-analytic-value,r073u-analytic-proof,f'(z)=exp(-5z^2)(1-10z^2),f(z)=z exp(-5z^2)
